file,code,offset,before_after_hex
kigyo3.dat,1308,729942,02 00 00 FA 00 00 00 4B FD FF FF 84 C3 F5 28 5C AB 00 00 00 00 00 00 06 31 33 30 38 30 39 00 00 00 00 00 00 00 00 00 00 00 00 04 30 35 30 33 00 04 00 00 00
kigyo3.dat,1308,791157,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 06 31 33 30 38 30 35 00 00 00 00 00 00 00 00 00 00 00 00 04 31 39 30 33 00 00 00 00 00
kigyo3.dat,1308,796657,01 00 00 32 01 00 00 0A 01 00 00 85 71 3D 0A D7 0D 00 00 00 00 00 00 06 31 33 30 38 30 38 00 00 00 00 00 00 00 00 00 00 00 00 04 31 33 31 32 00 00 00 2B 19
kigyo3.dat,1308,820051,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 33 30 38 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
kigyo3.dat,1308,820747,02 00 00 CE 01 00 00 3D 01 00 00 89 52 B8 1E 25 0F 00 00 00 00 00 00 06 31 33 30 38 31 32 00 00 00 00 00 00 00 00 00 00 00 00 04 31 37 31 32 00 00 00 4C 2A
kigyo3.dat,1308,823112,00 00 00 06 00 00 00 10 00 00 00 81 33 33 33 33 33 00 00 00 00 00 00 06 31 33 30 38 31 33 00 00 00 00 00 00 00 00 00 00 00 00 04 31 36 30 33 00 00 00 A4 10
kigyo3.dat,1308,828117,02 00 00 16 04 00 00 AB 02 00 00 86 5C 8F C2 F5 3B 00 00 00 00 00 00 06 31 33 30 38 30 39 00 00 00 00 00 00 00 00 00 00 00 00 04 31 36 30 33 00 00 00 6D 57
kigyo3.dat,1308,835102,05 00 00 D9 06 00 00 47 03 00 00 87 8F C2 F5 A8 7B 00 00 00 00 00 00 06 31 33 30 38 30 36 00 00 00 00 00 00 00 00 00 00 00 00 04 31 33 30 39 00 00 00 0D 4B
kigyo3.dat,1308,835561,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 33 30 38 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
kigyo3.dat,1308,838292,08 00 00 5E 09 00 00 20 03 00 00 87 D7 A3 70 BD 07 00 00 00 00 00 00 06 31 33 30 38 33 30 00 00 00 00 00 00 00 00 00 00 00 00 04 31 33 31 30 00 00 00 1A 53
