file,offset,length,encoding,text,context_hex
kigyo.dat,3759,4,cp932,ﾍﾌﾌﾌ,06 00 00 3A 00 00 00 80 CD CC CC CC 0C 00 00 00 00 00 00 06
kigyo.dat,3771,6,cp932,110805,0C 00 00 00 00 00 00 06 31 31 30 38 30 35 00 00 00 00 00 00 00 00
kigyo.dat,3790,4,cp932,1203,00 00 00 00 00 00 00 04 31 32 30 33 00 00 00 7D C6 02 00 64
kigyo.dat,3826,6,cp932,130206,00 00 00 00 00 00 00 06 31 33 30 32 30 36 00 00 00 00 00 00 00 00
kigyo.dat,3845,4,cp932,1303,00 00 00 00 00 00 00 04 31 33 30 33 00 00 00 7E B7 02 00 14
kigyo.dat,3881,6,cp932,140205,41 00 00 00 00 00 00 06 31 34 30 32 30 35 00 00 00 00 00 00 00 00
kigyo.dat,3900,4,cp932,1403,00 00 00 00 00 00 00 04 31 34 30 33 00 00 00 93 16 03 00 63
kigyo.dat,3936,6,cp932,2014/0,62 00 00 00 00 00 00 06 32 30 31 34 2F 30 00 00 00 00 00 00 00 00
kigyo.dat,3955,4,cp932,1503,00 00 00 00 00 00 00 04 31 35 30 33 00 00 00 C8 20 03 00 74
kigyo.dat,3991,6,cp932,2014/0,00 00 00 00 00 00 00 06 32 30 31 34 2F 30 00 00 00 00 00 00 00 00
kigyo.dat,4010,4,cp932,1003,00 00 00 00 00 00 00 04 31 30 30 33 00 00 00 00 00 00 00 00
kigyo.dat,4064,51,cp932,2買い付け主力。すしネタに強み。加工食品は業務用が軸,00 00 00 00 00 00 00 00 32 94 83 82 A2 95 74 82 AF 8E E5 97 CD 81 42 82 B7 82 B5 83 6C 83 5E 82 C9 8B AD 82 DD 81 42 89 C1 8D 48 90 48 95 69 82 CD 8B C6 96 B1 97 70 82 AA 8E B2 1A 05 02 C9 97 97 6D 81
kigyo.dat,4118,11,cp932,ﾉ覧m　　　@,70 82 AA 8E B2 1A 05 02 C9 97 97 6D 81 40 81 40 81 40 40 81 00 00 00 00 00 00 20
kigyo.dat,4173,6,cp932,070201,44 05 00 00 00 00 00 06 30 37 30 32 30 31 88 00 00 00 00 11 00 00
kigyo.dat,4228,4,cp932,1103,1B 00 00 00 00 00 00 04 31 31 30 33 00 00 00 29 42 02 00 20
kigyo.dat,4283,4,cp932,1203,00 00 00 00 00 00 00 04 31 32 30 33 00 00 00 69 87 02 00 11
kigyo.dat,4306,6,cp932,οﾌﾌﾌL,59 07 00 00 A0 02 00 00 83 CD CC CC CC 4C 83 00 00 00 00 20 00 00
kigyo.dat,4338,4,cp932,1303,00 00 00 00 00 00 00 04 31 33 30 33 00 00 00 62 73 02 00 DE
kigyo.dat,4362,5,cp932,)\渉u,05 00 00 26 03 00 00 83 29 5C 8F C2 75 83 00 00 00 00 20 00 00
kigyo.dat,4393,4,cp932,1403,00 00 00 00 00 00 00 04 31 34 30 33 00 00 00 1A EE 02 00 A7
kigyo.dat,4448,4,cp932,1503,00 00 00 00 00 00 00 04 31 35 30 33 00 00 00 00 00 00 00 00
kigyo.dat,4503,4,cp932,1503,00 00 00 00 00 00 00 04 31 35 30 33 00 01 00 00 00 00 00 00
kigyo.dat,4558,4,cp932,1103,00 00 00 00 00 00 00 04 31 31 30 33 00 00 00 AB 7B 02 00 34
kigyo.dat,4582,4,cp932,ﾍﾌﾌﾌ,06 00 00 3A 00 00 00 80 CD CC CC CC 0C 00 00 00 00 00 00 06
kigyo.dat,4594,6,cp932,110805,0C 00 00 00 00 00 00 06 31 31 30 38 30 35 00 00 00 00 00 00 00 00
kigyo.dat,4613,4,cp932,1203,00 00 00 00 00 00 00 04 31 32 30 33 00 00 00 7D C6 02 00 64
kigyo.dat,4649,6,cp932,130206,00 00 00 00 00 00 00 06 31 33 30 32 30 36 00 00 00 00 00 00 00 00
kigyo.dat,4668,4,cp932,1303,00 00 00 00 00 00 00 04 31 33 30 33 00 00 00 7E B7 02 00 14
kigyo.dat,4704,6,cp932,140205,41 00 00 00 00 00 00 06 31 34 30 32 30 35 00 00 00 00 00 00 00 00
kigyo.dat,4723,4,cp932,1403,00 00 00 00 00 00 00 04 31 34 30 33 00 00 00 93 16 03 00 63
kigyo.dat,4759,6,cp932,2014/0,62 00 00 00 00 00 00 06 32 30 31 34 2F 30 00 00 00 00 00 00 00 00
kigyo.dat,4778,4,cp932,1503,00 00 00 00 00 00 00 04 31 35 30 33 00 00 00 C8 20 03 00 74
kigyo.dat,4814,6,cp932,2014/0,00 00 00 00 00 00 00 06 32 30 31 34 2F 30 00 00 00 00 00 00 00 00
kigyo.dat,4833,4,cp932,1003,00 00 00 00 00 00 00 04 31 30 30 33 00 00 00 00 00 00 00 00
kigyo.dat,4887,51,cp932,2水産品の貿易、加工、買い付け主力。すしネタに強み。,00 00 00 00 00 00 00 00 32 90 85 8E 59 95 69 82 CC 96 66 88 D5 81 41 89 C1 8D 48 81 41 94 83 82 A2 95 74 82 AF 8E E5 97 CD 81 42 82 B7 82 B5 83 6C 83 5E 82 C9 8B AD 82 DD 81 42 1C 05 02 C9 97 97 6D 81
