line_no,code,text,encoding
152,1942,"1942,関電工,1,0,0,1,関電工,3,0,3,1,1942",cp932
153,1944,"1944,きんでん,1,1,0,1,きんでん,3,0,3,0,1944",cp932
154,1945,"1945,東京エネシス,1,0,0,1,東京エネシス,3,0,3,0,1945",cp932
155,1946,"1946,トーエネック,1,0,0,1,トーエネック,3,0,3,0,1946",cp932
156,1949,"1949,住友電設,1,0,0,1,住友電設,3,0,3,0,1949",cp932
157,1950,"1950,日本電設工業,1,0,0,1,日本電設工業,3,0,3,0,1950",cp932
158,1951,"1951,エクシオグル,1,0,0,1,エクシオグループ,3,0,3,1,1951",cp932
159,1952,"1952,新日本空調,1,0,0,1,新日本空調,3,0,3,0,1952",cp932
160,1959,"1959,九電工,1,0,0,1,九電工,3,0,3,1,1959",cp932
161,1961,"1961,三機工業,1,0,0,1,三機工業,3,0,3,0,1961",cp932
162,1963,"1963,日揮ホールデ,1,0,1,1,日揮ホールディングス,3,0,3,0,1963",cp932
163,1964,"1964,中外炉工業,1,0,0,1,中外炉工業,3,0,3,0,1964",cp932
164,1968,"1968,太平電業,1,0,0,1,太平電業,3,0,3,0,1968",cp932
165,1969,"1969,高砂熱学工業,1,0,0,1,高砂熱学工業,3,0,3,0,1969",cp932
166,1975,"1975,朝日工業社,1,0,0,1,朝日工業社,3,0,3,0,1975",cp932
167,1976,"1976,明星工業,1,0,0,1,明星工業,3,0,3,0,1976",cp932
168,1979,"1979,大氣社,1,0,0,1,大氣社,3,0,3,0,1979",cp932
169,1980,"1980,ダイダン,1,0,0,1,ダイダン,3,0,3,0,1980",cp932
170,1982,"1982,日比谷総合設,1,0,0,1,日比谷総合設備,3,0,3,0,1982",cp932
171,2001,"2001,ニップン,1,0,0,1,ニップン,4,0,4,0,2001",cp932
172,2002,"2002,日清製粉グル,1,0,1,1,日清製粉グループ本社,4,0,4,0,2002",cp932
173,2004,"2004,昭和産業,1,0,0,1,昭和産業,4,0,4,0,2004",cp932
174,2053,"2053,中部飼料,1,1,0,1,中部飼料,4,0,4,0,2053",cp932
175,2060,"2060,フィード・ワ,1,0,0,1,フィード・ワン,4,0,4,0,2060",cp932
176,2108,"2108,日本甜菜製糖,1,1,0,1,日本甜菜製糖,4,0,4,0,2108",cp932
177,2109,"2109,ＤＭ三井製糖,1,0,0,1,ＤＭ三井製糖,4,0,4,0,2109",cp932
178,2117,"2117,ウェルネオシ,1,0,0,1,ウェルネオシュガー,4,0,4,0,2117",cp932
179,2120,"2120,ＬＩＦＵＬＬ,1,0,0,1,ＬＩＦＵＬＬ,33,0,33,0,2120",cp932
180,2121,"2121,ＭＩＸＩ,1,0,0,1,ＭＩＸＩ,33,0,33,1,2121",cp932
181,2124,"2124,ジェイエイシ,1,0,0,1,ジェイエイシーリクルートメント,33,0,33,0,2124",cp932
182,2127,"2127,日本Ｍ＆Ａセ,1,0,0,1,日本Ｍ＆Ａセンターホールディングス,33,0,33,1,2127",cp932
183,2130,"2130,メンバーズ,1,0,0,1,メンバーズ,33,0,33,0,2130",cp932
184,2146,"2146,ＵＴグループ,1,1,0,1,ＵＴグループ,33,0,33,1,2146",cp932
185,2148,"2148,アイティメデ,1,0,0,1,アイティメディア,33,0,33,0,2148",cp932
186,2150,"2150,ケアネット,1,1,0,1,ケアネット,33,0,33,0,2150",cp932
187,2153,"2153,Ｅ・Ｊホール,1,0,0,1,Ｅ・Ｊホールディングス,33,0,33,0,2153",cp932
188,2154,"2154,オープンアッ,1,0,0,1,オープンアップグループ,33,0,33,0,2154",cp932
189,2157,"2157,コシダカホー,1,0,0,1,コシダカホールディングス,33,0,33,0,2157",cp932
190,2163,"2163,アルトナー,1,0,0,1,アルトナー,33,0,33,0,2163",cp932
191,2168,"2168,パソナグルー,1,0,0,1,パソナグループ,33,0,33,0,2168",cp932
192,2170,"2170,リンクアンド,1,0,0,1,リンクアンドモチベーション,33,0,33,0,2170",cp932
193,2175,"2175,エス・エム・,1,0,0,1,エス・エム・エス,33,0,33,1,2175",cp932
194,2181,"2181,パーソルホー,1,0,0,1,パーソルホールディングス,33,0,33,1,2181",cp932
195,2198,"2198,アイ・ケイ・,1,0,0,1,アイ・ケイ・ケイホールディングス,33,0,33,0,2198",cp932
196,2201,"2201,森永製菓,1,1,0,1,森永製菓,4,0,4,1,2201",cp932
197,2206,"2206,江崎グリコ,1,0,0,1,江崎グリコ,4,0,4,0,2206",cp932
198,2207,"2207,名糖産業,1,0,0,1,名糖産業,4,0,4,0,2207",cp932
199,2209,"2209,井村屋グルー,1,0,0,1,井村屋グループ,4,0,4,0,2209",cp932
200,2211,"2211,不二家,1,0,0,1,不二家,4,0,4,0,2211",cp932
201,2212,"2212,山崎製パン,1,0,0,1,山崎製パン,4,0,4,0,2212",cp932
202,2217,"2217,モロゾフ,1,1,0,1,モロゾフ,4,0,4,0,2217",cp932
203,2220,"2220,亀田製菓,1,1,0,1,亀田製菓,4,0,4,0,2220",cp932
204,2222,"2222,寿スピリッツ,1,0,0,1,寿スピリッツ,4,0,4,0,2222",cp932
205,2229,"2229,カルビー,1,0,0,1,カルビー,4,0,4,1,2229",cp932
206,2264,"2264,森永乳業,1,0,0,1,森永乳業,4,0,4,1,2264",cp932
207,2266,"2266,六甲バター,1,0,0,1,六甲バター,4,0,4,0,2266",cp932
208,2267,"2267,ヤクルト本社,1,0,0,1,ヤクルト本社,4,0,4,1,2267",cp932
209,2269,"2269,明治ホールデ,1,0,1,1,明治ホールディングス,4,0,4,1,2269",cp932
210,2270,"2270,雪印メグミル,1,0,0,1,雪印メグミルク,4,0,4,0,2270",cp932
211,2281,"2281,プリマハム,1,0,0,1,プリマハム,4,0,4,1,2281",cp932
212,2282,"2282,日本ハム,1,0,1,1,日本ハム,4,0,4,1,2282",cp932
213,2288,"2288,丸大食品,1,0,0,1,丸大食品,4,0,4,0,2288",cp932
214,2292,"2292,Ｓ　Ｆｏｏｄ,1,0,0,1,Ｓ　Ｆｏｏｄｓ,4,0,4,0,2292",cp932
215,2294,"2294,柿安本店,1,1,0,1,柿安本店,4,0,4,0,2294",cp932
216,2296,"2296,伊藤ハム米久,1,0,0,1,伊藤ハム米久ホールディングス,4,0,4,0,2296",cp932
217,2301,"2301,学情,1,1,0,1,学情,33,0,33,0,2301",cp932
218,2307,"2307,クロスキャッ,1,0,0,1,クロスキャット,31,0,31,0,2307",cp932
219,2309,"2309,シミックホー,1,0,0,0,シミックホールディングス,36,1,36,0,2309",cp932
220,2317,"2317,システナ,1,0,0,1,システナ,31,0,31,1,2317",cp932
221,2325,"2325,ＮＪＳ,1,0,0,1,ＮＪＳ,33,0,33,0,2325",cp932
222,2326,"2326,デジタルアー,1,0,0,1,デジタルアーツ,31,0,31,0,2326",cp932
223,2327,"2327,日鉄ソリュー,1,0,0,1,日鉄ソリューションズ,31,0,31,1,2327",cp932
224,2331,"2331,ＡＬＳＯＫ,1,0,0,1,ＡＬＳＯＫ,33,0,33,1,2331",cp932
225,2335,"2335,キューブシス,1,0,0,1,キューブシステム,31,0,31,0,2335",cp932
226,2337,"2337,いちご,1,1,0,1,いちご,26,0,26,1,2337",cp932
227,2353,"2353,日本駐車場開,1,0,0,1,日本駐車場開発,26,0,26,0,2353",cp932
228,2359,"2359,コア,1,0,0,1,コア,31,0,31,0,2359",cp932
229,2371,"2371,カカクコム,1,0,0,1,カカクコム,33,0,33,1,2371",cp932
230,2374,"2374,セントケア・,1,0,0,1,セントケア・ホールディング,33,0,33,0,2374",cp932
231,2378,"2378,ルネサンス,1,0,0,1,ルネサンス,33,0,33,0,2378",cp932
232,2379,"2379,ディップ,1,0,0,1,ディップ,33,0,33,1,2379",cp932
233,2384,"2384,ＳＢＳホール,1,0,0,1,ＳＢＳホールディングス,27,0,27,0,2384",cp932
234,2389,"2389,デジタルホー,1,0,0,1,デジタルホールディングス,33,0,33,0,2389",cp932
235,2395,"2395,新日本科学,1,0,0,1,新日本科学,33,0,33,0,2395",cp932
236,2410,"2410,キャリアデザ,1,0,0,1,キャリアデザインセンター,33,0,33,0,2410",cp932
237,2413,"2413,エムスリー,1,0,1,1,エムスリー,33,0,33,1,2413",cp932
238,2429,"2429,ワールドホー,1,0,0,1,ワールドホールディングス,33,0,33,0,2429",cp932
239,2432,"2432,ディー・エヌ,1,0,1,1,ディー・エヌ・エー,33,0,33,0,2432",cp932
240,2433,"2433,博報堂ＤＹホ,1,0,0,1,博報堂ＤＹホールディングス,33,0,33,1,2433",cp932
241,2453,"2453,ジャパンベス,1,0,0,0,ジャパンベストレスキューシステム,36,1,36,0,2453",cp932
242,2461,"2461,ファンコミュ,1,0,0,1,ファンコミュニケーションズ,33,0,33,0,2461",cp932
243,2462,"2462,ライク,1,0,0,1,ライク,33,0,33,0,2462",cp932
244,2471,"2471,エスプール,1,0,0,1,エスプール,33,0,33,0,2471",cp932
245,2475,"2475,ＷＤＢホール,1,0,0,1,ＷＤＢホールディングス,33,0,33,0,2475",cp932
246,2491,"2491,バリューコマ,1,0,0,1,バリューコマース,33,0,33,0,2491",cp932
247,2492,"2492,インフォマー,1,0,0,1,インフォマート,33,0,33,0,2492",cp932
248,2501,"2501,サッポロホー,1,0,1,1,サッポロホールディングス,4,0,4,0,2501",cp932
249,2502,"2502,アサヒグルー,1,0,1,1,アサヒグループホールディングス,4,0,4,1,2502",cp932
250,2503,"2503,キリンホール,1,0,1,1,キリンホールディングス,4,0,4,1,2503",cp932
251,2531,"2531,宝ホールディ,1,0,1,1,宝ホールディングス,4,0,4,0,2531",cp932
252,2533,"2533,オエノンホー,1,0,0,1,オエノンホールディングス,4,0,4,0,2533",cp932
253,2540,"2540,養命酒製造,1,0,0,1,養命酒製造,4,0,4,0,2540",cp932
254,2579,"2579,コカ・コーラ,1,0,0,1,コカ・コーラ　ボトラーズジャパンホールディングス,4,0,4,0,2579",cp932
255,2585,"2585,ライフドリン,1,0,0,1,ライフドリンク　カンパニー,4,0,4,0,2585",cp932
256,2587,"2587,サントリー食,1,0,0,1,サントリー食品インターナショナル,4,0,4,1,2587",cp932
257,2590,"2590,ダイドーグル,1,0,0,1,ダイドーグループホールディングス,4,0,4,0,2590",cp932
258,2593,"2593,伊藤園第１種,1,0,2,1,伊藤園第１種優先株式,4,0,4,0,2593",cp932
259,2594,"2594,キーコーヒー,1,0,0,1,キーコーヒー,4,0,4,0,2594",cp932
260,2602,"2602,日清オイリオ,1,0,0,1,日清オイリオグループ,4,0,4,0,2602",cp932
261,2607,"2607,不二製油,1,0,0,1,不二製油,4,0,4,0,2607",cp932
262,2613,"2613,Ｊ－オイルミ,1,0,0,1,Ｊ－オイルミルズ,4,0,4,0,2613",cp932
263,2659,"2659,サンエー,1,0,0,1,サンエー,21,0,21,0,2659",cp932
264,2664,"2664,カワチ薬品,1,1,0,1,カワチ薬品,21,0,21,0,2664",cp932
265,2670,"2670,エービーシー,1,0,0,1,エービーシー・マート,21,0,21,1,2670",cp932
266,2674,"2674,ハードオフコ,1,0,0,1,ハードオフコーポレーション,21,0,21,0,2674",cp932
267,2676,"2676,高千穂交易,1,1,0,1,高千穂交易,20,0,20,0,2676",cp932
268,2678,"2678,アスクル,1,0,0,1,アスクル,21,0,21,0,2678",cp932
269,2681,"2681,ゲオホールデ,1,0,0,1,ゲオホールディングス,21,0,21,0,2681",cp932
270,2685,"2685,アダストリア,1,0,0,1,アダストリア,21,0,21,0,2685",cp932
271,2692,"2692,伊藤忠食品,1,0,0,1,伊藤忠食品,20,0,20,0,2692",cp932
272,2695,"2695,くら寿司,1,0,0,1,くら寿司,21,0,21,0,2695",cp932
273,2715,"2715,エレマテック,1,0,0,1,エレマテック,20,0,20,0,2715",cp932
274,2726,"2726,パルグループ,1,0,0,1,パルグループホールディングス,21,0,21,0,2726",cp932
275,2730,"2730,エディオン,1,0,0,1,エディオン,21,0,21,0,2730",cp932
276,2733,"2733,あらた,1,1,0,1,あらた,20,0,20,0,2733",cp932
277,2734,"2734,サーラコーポ,1,0,0,1,サーラコーポレーション,21,0,21,0,2734",cp932
278,2737,"2737,トーメンデバ,1,0,0,1,トーメンデバイス,20,0,20,0,2737",cp932
279,2742,"2742,ハローズ,1,0,0,1,ハローズ,21,0,21,0,2742",cp932
280,2749,"2749,ＪＰホールデ,1,0,0,1,ＪＰホールディングス,33,0,33,0,2749",cp932
281,2752,"2752,フジオフード,1,0,0,1,フジオフードグループ本社,21,0,21,0,2752",cp932
282,2753,"2753,あみやき亭,1,0,0,1,あみやき亭,21,0,21,0,2753",cp932
283,2760,"2760,東京エレクト,1,0,0,1,東京エレクトロン　デバイス,20,0,20,0,2760",cp932
284,2767,"2767,円谷フィール,1,0,0,1,円谷フィールズホールディングス,20,0,20,0,2767",cp932
285,2768,"2768,双日,1,0,1,1,双日,20,0,20,1,2768",cp932
286,2784,"2784,アルフレッサ,1,0,0,1,アルフレッサ　ホールディングス,20,0,20,1,2784",cp932
287,2791,"2791,大黒天物産,1,0,0,1,大黒天物産,21,0,21,0,2791",cp932
288,2792,"2792,ハニーズホー,1,0,0,1,ハニーズホールディングス,21,0,21,0,2792",cp932
289,2801,"2801,キッコーマン,1,0,1,1,キッコーマン,4,0,4,1,2801",cp932
290,2802,"2802,味の素,1,0,1,1,味の素,4,0,4,1,2802",cp932
291,2804,"2804,ブルドックソ,1,0,0,1,ブルドックソース,4,0,4,0,2804",cp932
